model,num_windows,damage_accuracy,stress_accuracy,multitask_state_accuracy,state_head_accuracy,state_head_macro_f1,mean_state_confidence
advancedV1_multiscale_extratrees,73060,0.7269778264440186,0.85194360799343,0.6792909937038051,0.6792909937038051,0.6800531649751695,
advancedV2_cnn_bilstm,74060,0.6879152038887388,0.7918714555765596,0.6270186335403727,0.6823251417769376,0.665929076386141,0.7538597583770752
advancedV3_physics_fusion,73060,0.7121270188885848,0.8258965234054202,0.6723788666849165,0.6934711196277032,0.6837234041198954,0.9321343302726746
